,Link_Type,NEWSUD_format,step_number
52,9.2.23,DDSSUUUSSDDNWNUUUEEEDDWDSSUUNNNWNDsssWWNNEEENDNWWSSEEESSUWW,56
53,9.2.24,UUUUSSDDNENNWWSSSDDDWWNUUEEEEESSWWNDNNsuuuESDDDSWWWNNNUUUSEE,56
54,9.2.25,NNNUNEESEUUWWDDDNWWSUSEEEEESSWWNUNNNEDDSSWSSWWeuuEENDDDWWUUSU,58
55,9.2.26,EEEUUWWWWWUUEEDSDEDDDNNUUSWSSEENNNUUUWWDDDDSennuuuWWSSSUEEDNNN,56
56,9.2.27,ENNEESSUWWNNNNDDSSSEUUUWWDDDWNNENDDSSUUUWSSEnnnEEDDWWWNUUSE,56
57,9.2.28,DNNUUUWSSDSSEENNNNNWWSSEUEEDDWWWDSSUSWWNNEEEwwsuDDDEEUUUUWWD,56
58,9.2.29,SUSEENNWWWDDDEEUSUUUNNDDDDEEUUNWWWSDSSDEEENUUWWWeeeedSWWNNNEESS,58
59,9.2.30,NNNEESSWDWWWSSEEEENNNWUUUSSDDDDEEUNUUWWWWDWSSEENwsddNUUUSSDDDN,58
60,9.2.31,UUNNDDDWWNNEEESUSSSSWWNNNNDDNNUUSESDDSSSUUendWWWUUEEEEDDW,54
61,9.2.32,NWWSSEDDEEUUUUUNNDDDDWSSSWWNNEUUUEEEEDDWWWeenuSSSWWNNNNEES,54
62,9.2.33,NDDSSUUWWWSSEEEENNNNUWWSSSSSDDNNNNEEEUUWWDwwssuDDDEEUUUUWWD,54
63,9.2.34,SUUWNNNNEESSSSSWWDNNEUUUUNNDDDDDSSnuWWUUUEEESDSWWNNEEEDDWW,56
64,9.2.35,UUUUNNWDDSSSSDDNNNNUEEUUSWWWSDDDDEEUnuuESDSWWWWNNEEEDNNUUSS,56
65,9.2.36,SSSEEENNNNWWSUUESSDDDSSUUNWNDDDENNUUUNWWDSeesdWWWUUEEEEEDDWW,56
66,9.2.37,WWUUESSEENNNEESSWDWNNNWWSSSWUUNEEEEDDDWWnuuDDDSSUUUUUNNDD,54
67,9.2.38,DDDDWWUUWNNEEEEUSUWWWDDDWSSEUEEENNWUNUUSSDwsdddNNNNUUSSSSSDDN,56
68,9.2.39,DDDEEUUUESSWWWDDNENNNUEESSSWUUNWWDeNNNEDDSSUWWWSSEESSUUNNDN,58
69,9.2.40,NUNNDDSSWWSSEEEENNWUUSWWDDDWDNDEEUUSSSUUNNdddWNNUUUEEESSWDDDW,58
70,9.2.41,DDDDWWUNUEEEEESSWWWSDDNDNNUUNNEESSSUUUWWendSSSDDNWWNNNDEEUUUS,58
71,9.2.42,NNNUUSSSWSSEENNNDDDWWUUUUEEEUSSDWWDDDNnnuEUUUSSDEDDWWWWNNEE,56
72,9.2.43,UUEESSWWUWWDDENNNEESSUUSSDWWNNNWDDEEsuuDDWWUUUEED,46
73,9.2.44,UUEEENNWWSUUWWDDSSEDDEEUNNUUNWWSSWWDDDEEssuWNNNEESSSW,50
74,9.2.45,EENNWWWSSEeuNDDDSSUUEUUWWUNNDDDDSEESSWUWNUNUEUSSDDNN,50
75,9.2.46,SSDWWWNNEEEENDDSWSUUEUUWWWDDDSEEENNWNUUSwsdUSSDDDNNUU,50
76,9.2.47,NNDNWWSDSEESSUUUEEDDWNWWDDNNUUUSSSSEENNWwwndEEEUUWWWDD,50
77,9.2.48,SSUUUNNDDDwssuuuuuDDDNEENNNWWSSDSEEEUUUWWWWNNEEDDDWWUUSEUUSS,52
78,9.2.49,SDSEENNDWWNNUUSSndEDDSSUUUUWWNWDDEEEUESSWWWNNNDE,46
79,9.2.50,UESESDDWWDDNENUUWUnddEESUUUUSWWDDDEEENUNWWSSSSDDNNWNN,50
80,9.2.51,UUUUNNDDDDSSenuuWWSDSSEENNNWWWUSSEEDDENEUNUUWWWNNDEESS,50
81,9.2.52,WUUUUEEDDDDWuNEEEUUWWWSSWWNDNEESSEDEDNNNUUSSSSDWWNN,50
82,9.2.53,NDDDSSSUUNNENDDSSSUUUWNNsddWSSEEENNNWWWUUUEESDDDW,46
83,9.2.54,SSUUUUEEDDDDNNNWWSeuuDDDEEUUWUSWSSWWNNDEEEESUSWUWNNND,50
84,9.2.55,WUUUUEEEEDSDWDWWNNWWUSSEENNEUUUSSDDNDDDWnuuuSSSEENNNNWWS,52
85,9.2.56,DEEEUUWWWDwsdddEEUUEUNNNNDDSSSSSWWNNNNEUEEDDWWSUUUSSWDWDD,52
86,9.2.57,EEUNNWWWUUSSSEDDDEDNNUUUSWWWDDEEnnnuuSSWDSSSEENNWNDNNUU,50
87,9.2.58,WWNUNEEESSSDDDWWUUUUNEEEDDWWsdNNUUUUSSDDNWNDDSWSSEEN,50
88,9.2.59,WUUWWSSEEENNNEESSSWDWNNNWWSSUUNEEEDDDWsEUUUWWDDDE,48
89,9.2.60,SWWWSUUUEEEDDDDNNWUUUSSSEDENNWWWWNNDEEESwwssdNNUUUSSDDD,50
90,9.2.61,UUWWDSDDEEUUUEEDNDDWWUwnSSSEENNNNUWWSSSSEENNNWDW,46
